MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9710	1992/5/12	0.0468	0.0458	0.029178	0.001218	-0.016359	-0.00613
P9710	1992/5/13	0.0188	0.0248	-0.007969	0.004001	0.01255	0.015363
P9710	1992/5/14	0.0148	0.0238	-0.018437	0.003478	-0.005956	-0.004348
P9710	1992/5/15	0.0368	0.0458	-0.019142	0.000238	-0.000209	0.000286
P9710	1992/5/18	0.0548	0.0668	-0.000917	0.017798	-0.013026	-0.014309
P9710	1992/5/19	0.0488	0.0488	-0.01887	-0.013946	-0.045404	-0.04623
P9710	1992/5/20	-0.0132	-0.0102	-0.032661	-0.022733	0.000703	-0.00487
P9710	1992/5/21	0.1718	0.2728	-0.178175	0.827279	-0.01074	0.00695
P9710	1992/5/22	0.0248	0.0298	-0.025791	-0.007976	0.011347	0.019036
P9710	1992/5/25	0.0428	0.0428	-0.014344	-0.029067	-0.075423	-0.113135
P9710	1992/5/26	-0.0022	-0.0132	0.004957	-0.018439	0.046321	0.064466
P9710	1992/5/27	-0.0262	-0.0362	-0.061082	-0.148636	-0.012535	-0.034101
P9710	1992/5/28	-0.0252	-0.0232	0.003884	0.011299	-0.027195	-0.037751
P9710	1992/5/29	0.0128	0.0178	0.008848	0.014462	0.003169	-0.002379
P9710	1992/6/1	-0.0072	-0.0142	0.018495	-0.011021	0.029644	0.028635
P9710	1992/6/2	0.0398	0.0198	-1.131325	-1.164613	0.007059	0.00833
P9710	1992/6/3	-0.0702	-0.0702	0.010277	-0.012221	0.029268	0.034866
P9710	1992/6/4	0.0168	0.0158	-0.022218	0.143876	0.06168	0.036024
P9710	1992/6/5	0.0028	-0.0002	-0.018295	-0.023079	-0.005141	-0.00818
P9710	1992/6/8	-0.0072	-0.0022	0.037607	0.034097	0.018454	0.008896
P9710	1992/6/9	-0.0592	-0.0722	0.055374	0.12997	0.071478	0.283128
P9710	1992/6/10	0.0178	0.0208	-0.013558	0.000174	-0.044571	-0.043375
P9710	1992/6/11	-0.0152	-0.0162	-0.004882	-0.004863	0.006853	0.004122
P9710	1992/6/12	0.0028	0.0008	0.000221	0.001301	0.000007	-0.002309
P9710	1992/6/15	-0.0292	-0.0262	-0.030043	0.001038	-0.043393	-0.047102
P9710	1992/6/16	0.0868	0.1478	0.00366	0.026637	-0.018234	0.020125
P9710	1992/6/17	0.0548	0.0498	-0.013216	-0.041258	0.026133	-0.029544
P9710	1992/6/18	-0.0132	-0.0092	-0.003401	-0.001034	-0.02604	-0.026772
P9710	1992/6/19	-0.0002	-0.0012	-0.008679	-0.001006	-0.007887	-0.009247
P9710	1992/6/22	-0.0312	-0.0282	-0.007045	-0.004659	-0.03923	-0.03719
P9710	1992/6/23	0.0038	-0.0002	0.008579	0.004561	0.023819	0.023758
P9710	1992/6/24	-0.0102	-0.0112	-0.003783	-0.002406	0.008718	0.009738
P9710	1992/6/25	0.0718	0.0878	-0.743507	-0.002497	0.012208	0.005545
P9710	1992/6/26	0.0308	0.0308	-0.057298	-0.007447	0.005004	0.001161
P9710	1992/6/29	0.0578	0.0508	-0.028461	-0.018625	0.009175	-0.001328
P9710	1992/6/30	0.0318	0.0288	-0.033218	-0.019006	-0.011492	-0.020832
P9710	1992/7/1	-0.0102	-0.0032	0.022548	0.041188	0.00014	0.000781
P9710	1992/7/2	-0.0152	-0.0182	-0.011708	-0.025533	-0.01462	-0.022165
P9710	1992/7/3	0.0038	0.0008	-0.015312	-0.022592	-0.026662	-0.032267
P9710	1992/7/6	-0.0072	-0.0112	0.008382	-0.041425	-0.11157	-0.072507
P9710	1992/7/7	0.0018	-0.0012	-0.015173	-0.036336	-0.03663	-0.054997
P9710	1992/7/8	-0.0042	-0.0032	0.007126	0.022404	0.021267	0.021742
P9710	1992/7/9	-0.0132	-0.0102	0.007547	0.016625	0.017428	0.014112
P9710	1992/7/10	0.0018	0.0038	0.007265	0.003437	-0.023631	-0.020179
P9710	1992/7/13	-0.0022	-0.0092	-0.002643	-0.004073	0.045862	0.082751
P9710	1992/7/14	-0.0012	-0.0032	-0.00487	-0.00303	0.027508	0.026121
P9710	1992/7/15	-0.0022	-0.0042	-0.014545	-0.023521	-0.01927	-0.028686
P9710	1992/7/16	0.0118	0.0108	0.00038	0.003013	0.012012	0.006788
P9710	1992/7/17	0.0138	0.0108	0.006445	0.001641	0.002532	0.002674
P9710	1992/7/20	0.0158	0.0098	-0.003609	0.001602	0.052536	0.054219
P9710	1992/7/21	-0.0112	-0.0122	0.002233	0.001666	-0.000301	0.002614
P9710	1992/7/22	-0.0132	-0.0182	0.004527	-0.006385	0.010338	0.010801
P9710	1992/7/23	0.0038	0.0028	0.016833	0.00921	-0.039716	-0.044912
P9710	1992/7/24	0.2158	0.3018	0.283605	0.370962	-0.004066	-0.003757
P9710	1992/7/27	-0.0062	-0.0232	-0.035007	-0.071855	-0.026437	-0.049854
P9710	1992/7/28	-0.0322	-0.0382	-0.009049	-0.017973	-0.021281	-0.019888
P9710	1992/7/29	-0.0112	-0.0162	-0.010023	-0.016465	-0.013048	-0.013071
P9710	1992/7/30	-0.0142	-0.0252	-0.017081	-0.029506	0.026324	0.025962
P9710	1992/7/31	-0.0032	-0.0042	-0.007867	-0.005778	0.005298	0.003865
P9710	1992/8/3	-0.0302	-0.0262	-0.005125	0.004412	-0.031643	-0.028829
P9710	1992/8/4	0.0088	0.0048	-0.00354	-0.012343	0.014667	0.013375
P9710	1992/8/5	0.0228	0.0288	0.00039	-0.004106	0.027631	0.028758
P9710	1992/8/6	-0.0082	-0.0082	-0.000801	0.003442	-0.00158	-0.004075
P9710	1992/8/7	0.0278	0.0358	-0.23033	0.004031	-0.019307	-0.018805
P9710	1992/8/10	-0.0012	-0.0032	0.024586	0.023871	-0.027373	-0.023747
P9710	1992/8/11	-0.0712	-0.0762	-0.00258	0.000775	0.0125	0.014016
P9710	1992/8/12	-0.0382	-0.0442	0.007583	0.008233	-0.079796	-0.086208
P9710	1992/8/13	0.0208	0.0348	-0.018172	-0.000283	0.055987	0.051418
P9710	1992/8/14	0.0208	0.0138	-0.200966	-0.313017	-0.031773	-0.03383
P9710	1992/8/17	0.0418	0.0478	-0.035221	-0.021912	0.01019	0.00687
P9710	1992/8/18	-0.0072	-0.0052	0.024339	0.018291	0.015842	0.02353
P9710	1992/8/19	-0.0022	-0.0042	-0.023692	-0.020915	-0.009464	-0.010302
P9710	1992/8/20	0.0108	0.0228	-0.272212	0.00869	-0.011014	-0.011659
P9710	1992/8/21	-0.0182	-0.0182	-0.003921	-0.007694	0.010808	0.011878
P9710	1992/8/24	-0.0262	-0.0272	0.011308	0.006978	0.010006	0.010175
P9710	1992/8/25	-0.0312	-0.0302	-0.007858	-0.004518	-0.032314	-0.033669
P9710	1992/8/26	0.0198	0.0198	-0.008362	-0.011219	-0.024746	-0.025858
P9710	1992/8/27	-0.0052	-0.0052	0.008902	0.005588	-0.01532	-0.01659
P9710	1992/8/28	-0.0002	0.0028	-0.203962	-0.336537	-0.025452	-0.027048
P9710	1992/8/31	-0.0242	-0.0242	0.010413	0.015712	0.00181	-0.001197
P9710	1992/9/1	-0.0122	-0.0092	-0.003122	0.000505	0.01592	0.017187
P9710	1992/9/2	0.0018	0.0138	0.011477	0.005585	-0.035654	-0.036973
P9710	1992/9/3	-0.0202	-0.0212	0.003676	-0.002143	0.011949	0.011006
P9710	1992/9/4	-0.0232	-0.0202	-0.008977	0.005738	0.035704	0.037371
P9710	1992/9/7	-0.0552	-0.0562	-0.000732	-0.002548	-0.000482	0.001216
P9710	1992/9/8	-0.0192	-0.0342	0.020988	-0.002602	-0.143326	-0.15153
P9710	1992/9/9	0.0098	0.0028	0.016138	-0.00469	-0.041218	-0.044304
P9710	1992/9/10	0.0488	0.0668	-0.07603	0.003659	0.064806	0.067939
P9710	1992/9/11	0.0428	0.0498	-0.009372	-0.001831	0.060912	0.062574
P9710	1992/9/14	-0.0282	-0.0302	0.032671	0.021818	0.025723	0.029944
P9710	1992/9/15	-0.0042	-0.0062	-0.004695	-0.017993	0.002426	0.003516
P9710	1992/9/16	0.0218	0.0278	-0.007445	0.0125	0.011462	0.009883
P9710	1992/9/17	-0.0002	-0.0042	-0.002997	-0.011901	-0.01548	-0.016334
P9710	1992/9/18	-0.0122	-0.0122	-0.000233	0.000109	0.016947	0.018321
P9710	1992/9/21	-0.0152	-0.0182	0.008657	0.00314	-0.028624	-0.03075
P9710	1992/9/22	-0.0112	-0.0122	0.001466	-0.001165	-0.001962	-0.002418
P9710	1992/9/23	0.0018	-0.0002	0.012783	0.003013	-0.029659	-0.031076
P9710	1992/9/24	0.0258	0.0218	0.000332	-0.008462	-0.030696	-0.033207
P9710	1992/9/25	-0.0082	-0.0072	-0.014233	-0.018579	0.016478	0.018144
P9710	1992/9/28	-0.0032	-0.0032	0.002078	0.008343	0.003299	0.003775
P9710	1992/9/29	-0.0032	-0.0052	-0.102144	-0.153952	-0.024679	-0.026262
P9710	1992/9/30	-0.0092	-0.0092	-0.004148	0.005159	-0.002349	-0.002184
P9710	1992/10/4	0.0058	0.0068	-0.003391	0.001272	-0.000737	-0.000555
P9710	1992/10/5	-0.0162	-0.0172	0.025914	0.01657	-0.020823	-0.021528
P9710	1992/10/6	-0.0102	-0.0092	-0.001338	-0.002948	-0.025986	-0.030361
P9710	1992/10/7	-0.0032	-0.0052	0.020852	0.01542	-0.016343	-0.017524
P9710	1992/10/8	-0.0182	-0.0232	0.008723	-0.003189	-0.036262	-0.037955
P9710	1992/10/9	0.0108	0.0128	-0.016963	-0.009094	-0.004659	-0.006604
P9710	1992/10/12	0.0868	0.0978	-0.00513	0.00574	0.05707	0.057988
P9710	1992/10/13	-0.0052	0.0198	-0.127468	0.018255	-0.022926	-0.024054
P9710	1992/10/14	-0.0132	-0.0112	0.006929	0.011141	0.003149	0.00073
P9710	1992/10/15	0.0018	-0.0022	0.002689	-0.009332	-0.006713	-0.006795
P9710	1992/10/16	-0.0032	-0.0032	-0.003042	0.000372	-0.006161	-0.007203
P9710	1992/10/19	-0.0352	-0.0372	0.01454	0.009684	-0.013339	-0.014896
P9710	1992/10/20	-0.0062	-0.0112	0.014931	0.009165	-0.028649	-0.031368
P9710	1992/10/21	-0.0332	-0.0352	0.020907	0.020094	-0.021333	-0.028835
P9710	1992/10/22	-0.0342	-0.0422	0.041597	0.030498	-0.022597	-0.023715
P9710	1992/10/23	0.0018	0.0098	-0.029955	-0.013774	0.039495	0.041626
P9710	1992/10/26	-0.0752	-0.0752	0.032841	0.041786	-0.006806	-0.005377
P9710	1992/10/27	-0.0672	-0.0792	0.018171	-0.014149	-0.047875	-0.047206
P9710	1992/10/28	0.0358	0.0438	-0.030513	0.03875	-0.004963	-0.005095
P9710	1992/10/29	0.0318	0.0258	-0.002811	0.019051	-0.029759	-0.035342
P9710	1992/10/30	0.0328	0.0358	-0.011011	-0.003602	0.01134	0.008204
P9710	1992/11/2	-0.0512	-0.0532	-0.015766	0.000247	0.048138	0.050861
P9710	1992/11/3	0.0138	0.0098	0.015817	0.007134	-0.040844	-0.042475
P9710	1992/11/4	-0.0212	-0.0222	-0.01908	-0.011537	0.014536	0.016279
P9710	1992/11/5	-0.0112	-0.0132	0.004763	0.001762	0.006907	0.009738
P9710	1992/11/6	-0.0112	-0.0122	-0.000475	0.001296	0.018292	0.019394
P9710	1992/11/9	-0.0322	-0.0352	0.026698	0.025136	-0.00802	-0.008844
P9710	1992/11/10	-0.0352	-0.0472	0.024733	-0.000498	-0.014172	-0.012141
P9710	1992/11/11	-0.0022	0.0038	-0.012271	0.00189	0.047809	0.049991
P9710	1992/11/12	-0.0142	-0.0112	-0.03156	-0.026192	0.063742	0.06621
P9710	1992/11/13	-0.0252	-0.0232	-0.018534	-0.005373	0.046353	0.048267
P9710	1992/11/16	-0.0622	-0.0542	-0.011791	0.004236	0.072068	0.078267
P9710	1992/11/17	-0.0162	-0.0172	-0.00669	-0.018219	0.007639	0.007296
P9710	1992/11/18	0.0338	0.0328	-0.012819	-0.016669	-0.04219	-0.045882
P9710	1992/11/19	-0.0082	-0.0112	-0.0103	-0.006606	-0.00892	-0.009437
P9710	1992/11/20	0.0098	0.0148	-0.000112	-0.00138	0.02637	0.02773
P9710	1992/11/23	0.0568	0.0678	-0.004643	-0.008539	0.075252	0.078952
P9710	1992/11/24	0.0438	0.0468	-0.035492	-0.040288	0.03871	0.042679
P9710	1992/11/25	0.1548	0.1918	-0.08123	-0.049213	0.075447	0.092301
P9710	1992/11/26	0.0398	0.0218	0.028855	-0.012204	-0.046675	-0.049167
P9710	1992/11/27	0.0678	0.0868	-0.010353	0.00911	0.0263	0.032496
P9710	1992/11/30	0.1698	0.2048	-0.965492	-0.025294	-0.02286	-0.022207
P9710	1992/12/1	-0.0432	-0.0272	0.015729	0.023277	-0.854604	-0.942512
P9710	1992/12/2	-0.0072	0.0008	-0.102954	-0.231217	0.007117	0.007886
P9710	1992/12/3	0.0238	0.0528	-0.1877	-0.003082	0.027756	0.044721
P9710	1992/12/4	0.1088	0.1758	0.109724	0.167511	-0.072113	-0.074125
P9710	1992/12/7	0.0278	0.0178	0.026042	-0.002396	-0.061457	-0.066822
P9710	1992/12/8	0.1258	0.1438	0.022969	0.014242	-0.019013	-0.020225
P9710	1992/12/9	-0.0582	-0.0632	0.035918	0.022025	0.006337	0.004932
P9710	1992/12/10	-0.5032	-0.6382	0.484399	0.280419	0.045062	0.050319
P9710	1992/12/11	0.0608	0.0678	-0.057383	-0.036424	-0.004137	0.006302
P9710	1992/12/14	-0.0202	-0.0232	0.01771	0.012217	0.011091	0.009888
P9710	1992/12/15	-0.0232	-0.0262	0.01695	0.01072	0.003146	0.004591
P9710	1992/12/16	0.0118	0.0078	0.001525	-0.006519	-0.028141	-0.032047
P9710	1992/12/17	0.0018	0.0058	-0.024409	-0.01835	0.030473	0.036007
P9710	1992/12/18	0.0028	-0.0042	0.01551	0.005247	-0.024844	-0.031238
P9710	1992/12/21	0.2418	0.2078	-0.000034	0.004773	-0.000414	-0.001182
P9710	1992/12/22	-0.0102	-0.0092	0.003493	0.008879	-0.002921	-0.00416
P9710	1992/12/23	0.0018	0.0078	0.002175	0.009063	0.02899	0.032228
P9710	1992/12/24	0.0068	0.0068	-0.015594	-0.021528	0.004008	0.003166
P9710	1992/12/25	0.0068	0.0068	0.004378	0.005046	0.029532	0.030477
P9710	1992/12/28	0.0098	0.0098	0.037418	0.031871	-0.027573	-0.02859
P9710	1992/12/29	0.0158	0.0128	0.003633	-0.001456	-0.005235	-0.008289
P9710	1992/12/30	0.0188	0.0148	0.014426	0.003086	-0.025391	-0.028944
P9710	1992/12/31	0.0068	0.0118	-0.007078	-0.00046	0.000083	0.000453
P9710	1993/1/3	0.0508	0.0608	-0.048669	-0.031948	0.020832	0.016987
P9710	1993/1/4	0.0018	0.0138	-0.043631	-0.010384	0.015854	-0.006498
P9710	1993/1/5	0.0128	0.0238	-0.047548	0.028269	0.001688	-0.024366
P9710	1993/1/6	-0.0002	-0.0072	0.034244	0.000752	-0.008481	0.006277
P9710	1993/1/7	0.0148	0.0198	-0.014302	-0.000252	-0.004349	-0.016041
P9710	1993/1/8	0.0218	0.0308	-0.018105	0.006305	0.00115	-0.021316
P9710	1993/1/11	0.0538	0.0708	-0.011973	0.011212	0.006734	-0.016784
P9710	1993/1/12	-0.0042	0.0028	-0.017178	-0.003237	0.032846	0.018893
P9710	1993/1/13	0.0208	0.0238	-0.003698	0.002112	0.003799	-0.0067
P9710	1993/1/14	0.0228	0.0308	-0.023415	0.004461	0.055597	0.041951
P9710	1993/1/15	0.0118	0.0088	0.019023	0.017764	0.048808	0.062684
P9710	1993/1/18	0.0178	0.0098	0.013391	-0.00199	-0.078973	-0.104939
P9710	1993/1/19	-0.0302	-0.0432	0.052533	0.019638	-0.022108	-0.010692
P9710	1993/1/20	0.0408	0.0448	-0.007139	0.018773	0.021441	0.033823
P9710	1993/1/21	0.0228	0.0248	-0.016217	0.001277	0.001858	0.007059
P9710	1993/1/22	0.0378	0.0358	0.026607	0.014302	0.032545	0.031832
P9710	1993/1/27	0.0388	0.0388	0.013516	-0.0034	-0.076913	-0.080523
P9710	1993/1/28	-0.0082	-0.0082	0.013568	0.013752	-0.002759	-0.000867
P9710	1993/1/29	0.0508	0.0438	0.046656	0.019296	-0.002602	-0.011789
P9710	1993/2/1	0.0628	0.0588	-0.013496	-0.022012	-0.060715	-0.049223
P9710	1993/2/2	0.0258	0.0228	0.009729	-0.006428	-0.011636	-0.014546
P9710	1993/2/3	-0.0152	-0.0162	-0.013918	-0.016706	-0.010249	-0.027257
P9710	1993/2/4	0.0348	0.0358	-0.024905	-0.017743	0.032799	0.017127
P9710	1993/2/5	0.0128	0.0078	0.023722	0.025258	0.06771	0.070509
P9710	1993/2/8	0.0568	0.0528	-0.002146	0.00218	0.063852	0.0578
P9710	1993/2/9	0.0108	0.0148	0.002238	-0.002238	-0.011112	-0.021281
P9710	1993/2/10	-0.0162	-0.0152	0.019139	0.011227	-0.016426	-0.012688
P9710	1993/2/11	-0.0242	-0.0262	0.02353	0.015033	-0.004268	0.006319
P9710	1993/2/12	0.0038	0.0148	-0.02687	0.001009	0.009866	-0.001343
P9710	1993/2/15	0.0368	0.0398	-0.016469	-0.028552	-0.04873	-0.050875
P9710	1993/2/16	-0.0162	-0.0132	-0.003684	-0.001687	-0.00284	0.00118
P9710	1993/2/17	0.0078	0.0038	0.002738	-0.007591	-0.036031	-0.027368
P9710	1993/2/18	0.0118	0.0148	0.01286	0.009729	-0.028219	-0.027241
P9710	1993/2/19	0.0098	-0.0012	0.019708	-0.005814	-0.005044	0.013932
P9710	1993/2/22	-0.0012	-0.0012	0.011782	0.013911	0.00587	0.009788
P9710	1993/2/23	-0.0202	-0.0212	0.029351	0.025381	0.020274	0.022651
P9710	1993/2/24	-0.0482	-0.0472	0.023636	0.018146	0.021243	0.03312
P9710	1993/2/25	0.0518	0.0568	-0.052166	-0.036018	-0.055919	-0.069385
P9710	1993/2/26	-0.0282	-0.0292	0.026997	0.018862	0.007452	0.02093
P9710	1993/3/1	-0.0362	-0.0442	0.075053	0.040999	-0.031932	-0.008563
P9710	1993/3/2	-0.0002	0.0068	-0.039302	-0.019545	0.011396	-0.000877
P9710	1993/3/3	-0.0192	-0.0162	-0.00533	-0.003851	0.010214	0.004776
P9710	1993/3/4	-0.0262	-0.0362	0.075969	0.030057	-0.012072	0.005206
P9710	1993/3/5	-0.0402	-0.0362	-0.000312	0.008291	0.029817	0.025048
P9710	1993/3/8	0.0478	0.0478	-0.063676	-0.04723	-0.0184	-0.020012
P9710	1993/3/9	-0.0272	-0.0322	0.039824	0.01348	-0.020164	-0.012789
P9710	1993/3/10	0.0418	0.0338	-0.002769	-0.020791	-0.025793	-0.021885
P9710	1993/3/11	0.0208	0.0278	-0.041525	-0.019672	-0.017815	-0.02581
P9710	1993/3/12	0.0598	0.0288	0.099086	-0.001544	-0.006144	0.007191
P9710	1993/3/15	-0.0442	-0.0402	0.004153	0.019988	0.003529	-0.000168
P9710	1993/3/16	0.0088	0.0008	0.006586	-0.010603	-0.002034	-0.007863
P9710	1993/3/17	-0.0222	-0.0202	0.000914	0.004513	0.002882	-0.000015
P9710	1993/3/18	-0.0102	-0.0152	0.006511	-0.004954	-0.026397	-0.020568
P9710	1993/3/19	-0.0042	-0.0042	0.009149	0.00616	-0.002025	0.000718
P9710	1993/3/22	-0.0712	-0.0782	0.05499	0.027504	-0.022232	0.008243
P9710	1993/3/23	-0.0432	-0.0532	0.017787	-0.008434	-0.022619	0.00679
P9710	1993/3/24	-0.0432	-0.0422	-0.014986	-0.014646	-0.064342	-0.061768
P9710	1993/3/25	0.0268	0.0158	0.040974	0.00906	-0.014914	0.002496
P9710	1993/3/26	0.0658	0.0628	0.02543	-0.005813	0.029608	0.002543
P9710	1993/3/29	-0.0272	-0.0332	0.040392	0.025745	0.003625	0.014419
P9710	1993/3/30	0.0008	-0.0022	0.022469	0.009207	-0.016298	-0.012835
P9710	1993/3/31	-0.0122	-0.0192	0.029137	0.009566	-0.011764	-0.003944
P9710	1993/4/1	0.0008	0.0018	-0.026338	-0.020552	0.000245	-0.000353
P9710	1993/4/2	-0.0172	-0.0152	-0.010598	-0.006463	-0.034759	-0.032228
P9710	1993/4/5	0.0008	0.0008	0.000413	0.001158	-0.004045	-0.009144
P9710	1993/4/6	0.0588	0.0718	-0.060829	-0.016624	0.003426	-0.041335
P9710	1993/4/7	-0.0832	-0.1422	-0.01241	-0.020706	-0.021332	-0.000866
P9710	1993/4/8	0.0608	0.0808	-0.103269	-0.055543	0.007517	-0.024264
P9710	1993/4/9	-0.0022	0.0008	-0.002621	0.013645	0.00548	-0.003771
P9710	1993/4/12	-0.0002	-0.0072	0.056553	0.040525	-0.03932	-0.016319
P9710	1993/4/13	0.0278	0.0398	-0.046817	-0.02665	0.000303	-0.02135
P9710	1993/4/14	-0.0142	-0.0132	-0.005182	0.003709	-0.009691	-0.002296
P9710	1993/4/15	0.0018	0.0038	-0.015291	-0.009008	0.00932	0.002897
P9710	1993/4/16	-0.0192	-0.0582	0.03433	-0.039619	-0.024687	-0.014421
P9710	1993/4/19	0.0008	-0.0012	-0.017749	-0.026999	0.020924	0.012636
P9710	1993/4/20	0.0028	0.0038	-0.00827	-0.009623	0.000917	-0.005637
