Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2010/3/11,4,3050.644,3070.935,3025.309,3051.282,0.000772
1,2010/3/12,5,3051.474,3057.519,3011.972,3013.412,-0.012411
1,2010/3/15,1,3010.722,3013.517,2963.494,2976.939,-0.012104
1,2010/3/16,2,2974.487,2993.843,2963.438,2992.841,0.005342
1,2010/3/17,3,2999.815,3050.757,2994.893,3050.479,0.019259
1,2010/3/18,4,3053.158,3063.586,3035.019,3046.089,-0.001439
1,2010/3/19,5,3046.749,3069.662,3031.023,3067.75,0.007111
1,2010/3/22,1,3069.66,3083.345,3061.759,3074.576,0.002225
1,2010/3/23,2,3076.957,3082.965,3051.211,3053.125,-0.006977
1,2010/3/24,3,3058.928,3076.749,3052.213,3056.808,0.001206
1,2010/3/25,4,3051.356,3051.356,3012.308,3019.176,-0.012311
1,2010/3/26,5,3017.215,3067.707,3009.905,3059.715,0.013427
1,2010/3/29,1,3076.048,3130.279,3071.69,3123.798,0.020944
1,2010/3/30,2,3123.832,3132.576,3113.767,3128.468,0.001495
1,2010/3/31,3,3129.574,3130.112,3101.756,3109.105,-0.006189
1,2010/4/1,4,3111.935,3148.344,3111.935,3147.416,0.012322
1,2010/4/2,5,3154.77,3159.598,3141.866,3157.957,0.003349
1,2010/4/6,2,3170.612,3177.968,3141.93,3158.681,0.000229
1,2010/4/7,3,3156.314,3161.081,3132.236,3148.222,-0.003311
1,2010/4/8,4,3143.451,3143.827,3110.256,3118.709,-0.009374
1,2010/4/9,5,3118.926,3146.459,3114.788,3145.347,0.008541
1,2010/4/12,1,3151.888,3156.211,3111.899,3129.263,-0.005114
1,2010/4/13,2,3129.692,3173.634,3101.483,3161.251,0.010222
1,2010/4/14,3,3161.551,3167.658,3145.555,3166.183,0.00156
1,2010/4/15,4,3168.139,3181.663,3135.99,3164.966,-0.000384
1,2010/4/16,5,3159.672,3159.672,3121.366,3130.302,-0.010952
1,2010/4/19,1,3096.785,3096.785,2977.774,2980.297,-0.04792
1,2010/4/20,2,2980.081,2998.913,2941.35,2979.533,-0.000256
1,2010/4/21,3,2984.618,3034.327,2972.096,3033.278,0.018038
1,2010/4/22,4,3021.289,3023.641,2978.457,2999.484,-0.011141
1,2010/4/23,5,2995.568,3015.633,2966.785,2983.537,-0.005317
1,2010/4/26,1,2988.077,2996.828,2965.832,2969.503,-0.004704
1,2010/4/27,2,2962.145,2962.145,2866.342,2907.928,-0.020736
1,2010/4/28,3,2883.167,2916.676,2865.469,2900.331,-0.002613
1,2010/4/29,4,2912.196,2928.93,2867.938,2868.432,-0.010998
1,2010/4/30,5,2867.649,2875.806,2820.949,2870.611,0.00076
1,2010/5/4,2,2821.354,2862.555,2809.132,2835.277,-0.012309
1,2010/5/5,3,2804.514,2857.293,2770.328,2857.151,0.007715
1,2010/5/6,4,2838.951,2838.951,2734.999,2739.702,-0.041107
1,2010/5/7,5,2685.992,2732.183,2665.812,2688.383,-0.018732
1,2010/5/10,1,2690.859,2713.061,2646.589,2698.757,0.003859
1,2010/5/11,2,2745.604,2751.07,2638.533,2647.574,-0.018965
1,2010/5/12,3,2628.019,2668.118,2604.198,2655.714,0.003075
1,2010/5/13,4,2653.579,2711.066,2646.896,2710.507,0.020632
1,2010/5/14,5,2692.096,2712.863,2677.19,2696.629,-0.00512
1,2010/5/17,1,2663.882,2663.882,2557.239,2559.931,-0.050692
1,2010/5/18,2,2555.141,2603.32,2529.625,2594.783,0.013614
1,2010/5/19,3,2581.63,2623.959,2554.984,2587.807,-0.002688
1,2010/5/20,4,2571.54,2609.639,2551.452,2555.94,-0.012314
1,2010/5/21,5,2492.575,2584.452,2481.974,2583.522,0.010791
1,2010/5/24,1,2596.318,2680.493,2596.318,2673.423,0.034798
1,2010/5/25,2,2654.359,2659.74,2609.086,2622.63,-0.018999
1,2010/5/26,3,2620.853,2644.941,2610.51,2625.793,0.001206
1,2010/5/27,4,2615.105,2662.081,2583.548,2655.918,0.011473
1,2010/5/28,5,2680.403,2686.542,2641.405,2655.767,-0.000057
1,2010/5/31,1,2647.868,2665.39,2591.535,2592.147,-0.023955
1,2010/6/1,2,2577.763,2598.897,2534.267,2568.283,-0.009206
1,2010/6/2,3,2548.542,2572.343,2521.057,2571.423,0.001223
1,2010/6/3,4,2575.77,2596.137,2551.529,2552.656,-0.007298
1,2010/6/4,5,2536.231,2556.969,2527.873,2553.593,0.000367
1,2010/6/7,1,2508.329,2527.104,2491.661,2511.729,-0.016394
1,2010/6/8,2,2510.084,2531.882,2491.647,2513.947,0.000883
1,2010/6/9,3,2523.879,2589.473,2501.118,2583.87,0.027814
1,2010/6/10,4,2561.549,2581.047,2554.787,2562.58,-0.00824
1,2010/6/11,5,2574.899,2590.979,2566.616,2569.942,0.002873
1,2010/6/17,4,2588.965,2595.509,2559.723,2560.245,-0.003773
1,2010/6/18,5,2556.602,2568.861,2505.327,2513.222,-0.018367
1,2010/6/21,1,2517.292,2587.34,2504.315,2586.21,0.029042
1,2010/6/22,2,2579.631,2598.353,2572.962,2588.698,0.000962
1,2010/6/23,3,2576.343,2593.673,2546.52,2569.872,-0.007272
1,2010/6/24,4,2563.639,2586.898,2554.342,2566.745,-0.001217
1,2010/6/25,5,2556.54,2572.832,2534.269,2552.817,-0.005426
1,2010/6/28,1,2550.649,2561.485,2528.385,2535.278,-0.00687
1,2010/6/29,2,2534.496,2541.142,2425.927,2427.053,-0.042688
1,2010/6/30,3,2409.542,2411.441,2382.358,2398.37,-0.011818
1,2010/7/1,4,2393.947,2410.769,2371.778,2373.792,-0.010248
1,2010/7/2,5,2371.323,2386.4,2319.739,2382.901,0.003837
1,2010/7/5,1,2358.757,2378.088,2335.571,2363.947,-0.007954
1,2010/7/6,2,2358.284,2409.783,2356.553,2409.424,0.019238
1,2010/7/7,3,2407.665,2421.679,2392.567,2421.117,0.004853
1,2010/7/8,4,2429.676,2436.283,2402.002,2415.15,-0.002465
1,2010/7/9,5,2416.58,2485.6,2398.676,2470.923,0.023093
1,2010/7/12,1,2468.541,2501.024,2455.814,2490.718,0.008011
1,2010/7/13,2,2468.69,2468.69,2439.243,2450.286,-0.016233
1,2010/7/14,3,2456.103,2494.589,2456.103,2470.44,0.008225
1,2010/7/15,4,2465.989,2487.237,2423.649,2424.304,-0.018675
1,2010/7/16,5,2414.681,2428.464,2389.071,2424.271,-0.000014
1,2010/7/19,1,2399.58,2484.194,2392.273,2475.421,0.021099
1,2010/7/20,2,2477.753,2530.331,2477.46,2528.73,0.021535
1,2010/7/21,3,2529.619,2553.452,2520.149,2535.394,0.002635
1,2010/7/22,4,2525.976,2563.239,2522.201,2562.406,0.010654
1,2010/7/23,5,2566.851,2579.523,2549.237,2572.028,0.003755
1,2010/7/26,1,2576.372,2589.484,2556.466,2588.683,0.006475
1,2010/7/27,2,2581.59,2587.997,2565.636,2575.368,-0.005144
1,2010/7/28,3,2574.322,2636.002,2564.156,2633.663,0.022636
1,2010/7/29,4,2635.048,2656.408,2623.944,2648.116,0.005488
1,2010/7/30,5,2642.852,2643.035,2614.732,2637.503,-0.004008
1,2010/8/2,1,2635.807,2675.762,2633.647,2672.516,0.013275
1,2010/8/3,2,2678.791,2681.786,2626.722,2627.002,-0.01703
1,2010/8/4,3,2620.499,2638.898,2589.988,2638.522,0.004385
1,2010/8/5,4,2636.243,2640.589,2606.622,2620.757,-0.006733
1,2010/8/6,5,2618.713,2659.412,2598.913,2658.392,0.01436
1,2010/8/9,1,2656.364,2676.09,2650.397,2672.533,0.005319
1,2010/8/10,2,2672.793,2675.313,2594.336,2595.274,-0.028909
1,2010/8/11,3,2587.615,2618.451,2586.018,2607.497,0.00471
1,2010/8/12,4,2584.919,2608.761,2570.963,2575.475,-0.012281
1,2010/8/13,5,2576.687,2607.033,2564.838,2606.7,0.012124
1,2010/8/16,1,2603.792,2665.314,2596.771,2661.708,0.021103
1,2010/8/17,2,2663.184,2677.57,2654.011,2671.893,0.003826
1,2010/8/18,3,2674.501,2687.76,2654.408,2666.301,-0.002093
1,2010/8/19,4,2669.431,2701.93,2659.297,2687.979,0.00813
1,2010/8/20,5,2677.019,2683.288,2636.908,2642.307,-0.016991
1,2010/8/23,1,2637.82,2656.116,2629.707,2639.366,-0.001113
1,2010/8/24,2,2636.532,2667.171,2614.563,2650.307,0.004145
1,2010/8/25,3,2634.95,2645.503,2595.728,2596.58,-0.020272
1,2010/8/26,4,2604.882,2616.962,2590.614,2603.481,0.002658
1,2010/8/27,5,2602.501,2613.487,2588.643,2610.742,0.002789
1,2010/8/30,1,2622.266,2656.355,2620.19,2652.664,0.016058
1,2010/8/31,2,2644.787,2647.253,2626.793,2638.798,-0.005227
1,2010/9/1,3,2641.053,2662.876,2604.487,2622.882,-0.006032
1,2010/9/2,4,2646.893,2659.978,2636.418,2655.776,0.012541
1,2010/9/3,5,2658.129,2660.539,2631.851,2655.394,-0.000144
1,2010/9/6,1,2667.195,2698.601,2664.239,2696.25,0.015386
1,2010/9/7,2,2698.218,2704.933,2679.023,2698.363,0.000784
1,2010/9/8,3,2687.711,2695.845,2674.321,2695.291,-0.001138
1,2010/9/9,4,2698.638,2698.638,2651.602,2656.352,-0.014447
1,2010/9/10,5,2657.235,2667.837,2628.829,2663.209,0.002581
1,2010/9/13,1,2665.655,2696.674,2660.607,2688.32,0.009429
1,2010/9/14,2,2694.069,2703.781,2678.974,2688.522,0.000075
1,2010/9/15,3,2688.386,2688.49,2645.864,2652.503,-0.013397
1,2010/9/16,4,2646.921,2653.272,2583.337,2602.465,-0.018864
1,2010/9/17,5,2607.551,2615.079,2592.535,2598.689,-0.001451
1,2010/9/20,1,2601.482,2607.347,2573.629,2588.713,-0.003839
1,2010/9/21,2,2593.763,2601.099,2580.177,2591.55,0.001096
1,2010/9/27,1,2600.54,2629.045,2597.139,2627.967,0.014052
1,2010/9/28,2,2625.326,2625.326,2607.018,2611.354,-0.006322
1,2010/9/29,3,2608.919,2634.124,2603.927,2610.678,-0.000259
1,2010/9/30,4,2599.715,2655.999,2597.597,2655.658,0.017229
1,2010/10/8,5,2681.253,2747.805,2677.994,2738.744,0.031286
1,2010/10/11,1,2755.026,2823.597,2755.026,2806.942,0.024901
1,2010/10/12,2,2795.764,2843.428,2782.341,2841.407,0.012278
1,2010/10/13,3,2842.138,2862.035,2826.221,2861.361,0.007023
1,2010/10/14,4,2881.552,2919.414,2864.519,2879.636,0.006387
1,2010/10/15,5,2863.738,2971.16,2858.216,2971.16,0.031783
1,2010/10/18,1,2985.462,3026.099,2944.715,2955.227,-0.005363
1,2010/10/19,2,2949.63,3002.371,2931.91,3001.853,0.015777
1,2010/10/20,3,2947.511,3041.151,2942.505,3003.951,0.000699
1,2010/10/21,4,3009.225,3018.244,2958.546,2983.533,-0.006797
1,2010/10/22,5,2976.754,2997.624,2954.619,2975.043,-0.002846
1,2010/10/25,1,2979.706,3051.539,2959.298,3051.419,0.025672
1,2010/10/26,2,3065.844,3073.384,3017.818,3041.543,-0.003237
1,2010/10/27,3,3031.645,3056.399,2988.871,2997.048,-0.014629
1,2010/10/28,4,2989.29,3007.013,2969.304,2992.579,-0.001491
1,2010/10/29,5,2993.296,2996.774,2955.48,2978.835,-0.004593
1,2010/11/1,1,2986.886,3054.05,2986.886,3054.021,0.02524
1,2010/11/2,2,3061.631,3089.568,3029.324,3045.434,-0.002812
1,2010/11/3,3,3044.022,3069.066,3017.098,3030.988,-0.004743
1,2010/11/4,4,3035.366,3087.421,3035.366,3086.939,0.01846
1,2010/11/5,5,3129.87,3142.589,3105.921,3129.497,0.013786
1,2010/11/8,1,3140.395,3160.699,3124.091,3159.512,0.009591
1,2010/11/9,2,3159.019,3159.019,3110.343,3135,-0.007758
1,2010/11/10,3,3120.44,3124.256,3093.878,3115.356,-0.006266
1,2010/11/11,4,3108.511,3186.72,3102.774,3147.744,0.010396
1,2010/11/12,5,3121.922,3150.146,2975.163,2985.435,-0.051564
1,2010/11/15,1,2984.872,3016.131,2939.68,3014.413,0.009706
1,2010/11/16,2,3007.643,3007.643,2885.753,2894.538,-0.039767
1,2010/11/17,3,2852.478,2891.052,2824.121,2838.857,-0.019237
1,2010/11/18,4,2855.605,2873.696,2827.179,2865.452,0.009368
1,2010/11/19,5,2879.655,2888.75,2806.644,2888.566,0.008066
1,2010/11/22,1,2861.606,2904.97,2852.774,2884.371,-0.001452
1,2010/11/23,2,2872.172,2872.172,2791.584,2828.282,-0.019446
1,2010/11/24,3,2794.864,2861.485,2794.864,2859.936,0.011192
1,2010/11/25,4,2875.858,2901.675,2856.962,2898.261,0.013401
1,2010/11/26,5,2890.287,2894.421,2851.957,2871.698,-0.009165
1,2010/11/29,1,2861.149,2878.827,2841.795,2866.356,-0.00186
1,2010/11/30,2,2863.412,2881.16,2758.924,2820.181,-0.016109
1,2010/12/1,3,2810.543,2834.199,2795.811,2823.449,0.001159
1,2010/12/2,4,2860.464,2870.806,2841.473,2843.607,0.007139
1,2010/12/3,5,2846.725,2853.401,2822.743,2842.431,-0.000414
1,2010/12/6,1,2850.382,2871.407,2831.697,2857.178,0.005188
1,2010/12/7,2,2843.767,2884.53,2809.11,2875.861,0.006539
1,2010/12/8,3,2868.733,2880.558,2843.94,2848.546,-0.009498
1,2010/12/9,4,2837.615,2854.7,2808.506,2810.949,-0.013199
1,2010/12/10,5,2798.736,2850.422,2792.522,2841.04,0.010705
1,2010/12/13,1,2850.325,2923.774,2847.658,2922.954,0.028832
1,2010/12/14,2,2928.3,2933.407,2912.42,2927.077,0.001411
1,2010/12/15,3,2927.264,2939.05,2905.649,2911.414,-0.005351
1,2010/12/16,4,2908.865,2921.275,2891.858,2898.138,-0.00456
1,2010/12/17,5,2896.77,2898.812,2881.004,2893.74,-0.001518
1,2010/12/20,1,2901.47,2911.561,2804.556,2852.916,-0.014108
1,2010/12/21,2,2857.589,2908.166,2846.633,2904.115,0.017946
1,2010/12/22,3,2910.731,2917.199,2867.049,2877.9,-0.009027
1,2010/12/23,4,2874.202,2893.711,2849.836,2855.22,-0.007881
1,2010/12/24,5,2841.346,2853.486,2813.496,2835.157,-0.007027
1,2010/12/27,1,2842.807,2876.811,2774.538,2781.402,-0.01896
1,2010/12/28,2,2768.031,2775.149,2730.407,2732.99,-0.017406
1,2010/12/29,3,2735.476,2753.025,2721.479,2751.527,0.006783
1,2010/12/30,4,2751.973,2768.126,2724.541,2759.575,0.002925
1,2010/12/31,5,2759.162,2808.926,2758.131,2808.077,0.017576
1,2011/1/4,2,2825.329,2855.396,2810.108,2852.648,0.015872
1,2011/1/5,3,2833.117,2850.493,2824.296,2838.593,-0.004927
1,2011/1/6,4,2838.435,2853.875,2816.951,2824.197,-0.005072
1,2011/1/7,5,2820.665,2868.005,2807.87,2838.801,0.005171
1,2011/1/10,1,2832.622,2847.358,2786.861,2791.809,-0.016553
1,2011/1/11,2,2783.476,2810.762,2770.338,2804.047,0.004384
1,2011/1/12,3,2811.785,2828.468,2788.13,2821.305,0.006155
1,2011/1/13,4,2830.534,2837.526,2810.874,2827.713,0.002271
1,2011/1/14,5,2817.048,2817.048,2780.438,2791.344,-0.012862
1,2011/1/17,1,2772.45,2780.942,2698.781,2706.66,-0.030338
1,2011/1/18,2,2696.147,2715.406,2683.367,2708.979,0.000857
1,2011/1/19,3,2707.816,2759.602,2700.811,2758.097,0.018132
1,2011/1/20,4,2752.799,2752.799,2676.129,2677.652,-0.029167
1,2011/1/21,5,2668.677,2746.178,2667.286,2715.294,0.014058
1,2011/1/24,1,2716.524,2736.109,2690.652,2695.72,-0.007209
1,2011/1/25,2,2691.693,2701.044,2661.448,2677.432,-0.006784
1,2011/1/26,3,2677.172,2710.738,2676.769,2708.814,0.011721
1,2011/1/27,4,2690.825,2753.001,2677.21,2749.15,0.014891
1,2011/1/28,5,2741.314,2759.44,2733.291,2752.75,0.001309
1,2011/1/31,1,2751.527,2790.921,2748.538,2790.694,0.013784
1,2011/2/1,2,2795.071,2805.049,2785.296,2798.96,0.002962
1,2011/2/9,3,2778.701,2804.208,2764.867,2774.065,-0.008894
1,2011/2/10,4,2769.646,2819.063,2760.175,2818.163,0.015897
1,2011/2/11,5,2815.119,2835.411,2807.605,2827.328,0.003252
1,2011/2/14,1,2828.571,2906.261,2828.571,2899.134,0.025397
1,2011/2/15,2,2900.427,2934.467,2892.637,2899.237,0.000036
1,2011/2/16,3,2893.682,2924.188,2882.549,2923.896,0.008505
1,2011/2/17,4,2929.255,2939.284,2905.032,2926.964,0.001049
1,2011/2/18,5,2924.23,2924.23,2890.262,2899.792,-0.009283
1,2011/2/21,1,2886.54,2932.82,2884.191,2932.246,0.011192
1,2011/2/22,2,2941.318,2944.413,2851.62,2855.516,-0.026168
1,2011/2/23,3,2844.99,2868.484,2839.195,2862.634,0.002493
1,2011/2/24,4,2861.393,2881.537,2854.564,2878.603,0.005578
1,2011/2/25,5,2876.777,2890.324,2848.65,2878.565,-0.000013
1,2011/2/28,1,2880.17,2906.169,2861.817,2905.053,0.009202
1,2011/3/1,2,2906.285,2931.58,2901.552,2918.92,0.004773
1,2011/3/2,3,2905.514,2924.963,2883.566,2913.808,-0.001751
1,2011/3/3,4,2918.731,2937.557,2900.761,2902.978,-0.003717
1,2011/3/4,5,2902.19,2944.459,2898.084,2942.306,0.013547
1,2011/3/7,1,2952.722,3000.429,2952.722,2996.211,0.018321
1,2011/3/8,2,2996.727,3001.624,2976.6,2999.942,0.001245
1,2011/3/9,3,3002.546,3012.044,2989.342,3002.154,0.000737
1,2011/3/10,4,2995.768,2995.768,2954.367,2957.143,-0.014993
1,2011/3/11,5,2942.419,2966.98,2927.683,2933.796,-0.007895
1,2011/3/14,1,2923.982,2939.652,2914.458,2937.627,0.001306
1,2011/3/15,2,2927.984,2927.984,2850.945,2896.256,-0.014083
1,2011/3/16,3,2894.252,2934.018,2894.252,2930.804,0.011929
1,2011/3/17,4,2906.955,2935.625,2885.651,2897.298,-0.011432
1,2011/3/18,5,2920.806,2930.606,2900.872,2906.886,0.003309
1,2011/3/21,1,2913.913,2927.073,2895.154,2909.137,0.000774
1,2011/3/22,2,2917.687,2923.392,2884.751,2919.142,0.003439
1,2011/3/23,3,2919.016,2950.422,2911.626,2948.477,0.010049
1,2011/3/24,4,2949.85,2958.663,2942.134,2946.706,-0.000601
1,2011/3/25,5,2948.543,2985.083,2946.697,2977.814,0.010557
1,2011/3/28,1,2985.356,3005.783,2979.196,2984.005,0.002079
1,2011/3/29,2,2979.865,2994.174,2953.54,2958.077,-0.008689
1,2011/3/30,3,2955.453,2968.182,2935.747,2955.771,-0.00078
1,2011/3/31,4,2954.653,2961.63,2914.384,2928.111,-0.009358
1,2011/4/1,5,2932.481,2967.847,2924.394,2967.41,0.013421
1,2011/4/6,3,2964.212,3005.238,2963.899,3001.36,0.011441
1,2011/4/7,4,3003.204,3012.288,2990.311,3007.909,0.002182
1,2011/4/8,5,3005.368,3031.097,2998.34,3030.021,0.007351
1,2011/4/11,1,3037.91,3059.568,3019.886,3022.746,-0.002401
1,2011/4/12,2,3012.795,3039.124,3003.445,3021.369,-0.000456
1,2011/4/13,3,3006.83,3050.401,2994.465,3050.398,0.009608
1,2011/4/14,4,3049.667,3058.239,3036.726,3042.635,-0.002545
1,2011/4/15,5,3036.345,3062.53,3020.156,3050.526,0.002593
1,2011/4/18,1,3040.531,3067.456,3037.189,3057.329,0.00223
1,2011/4/19,2,3038.807,3038.807,2996.222,2999.041,-0.019065
1,2011/4/20,3,3005.975,3019.123,2992.672,3007.037,0.002666
1,2011/4/21,4,3021.77,3035.471,3012.544,3026.668,0.006528
1,2011/4/22,5,3025.699,3032.965,3004.465,3010.517,-0.005336
1,2011/4/25,1,3003.031,3003.61,2964.643,2964.951,-0.015136
1,2011/4/26,2,2956.949,2970.278,2931.502,2938.981,-0.008759
1,2011/4/27,3,2946.327,2961.133,2907.662,2925.408,-0.004618
1,2011/4/28,4,2937.947,2953.193,2884.839,2887.044,-0.013114
1,2011/4/29,5,2886.629,2913.556,2871.01,2911.511,0.008475
1,2011/5/3,2,2911.51,2933.46,2890.225,2932.188,0.007102
1,2011/5/4,3,2916.845,2916.97,2860.075,2866.017,-0.022567
1,2011/5/5,4,2854.768,2880.125,2849.91,2872.404,0.002229
1,2011/5/6,5,2842.765,2881.706,2834.456,2863.886,-0.002965
1,2011/5/9,1,2868.235,2885.178,2861.42,2872.46,0.002994
1,2011/5/10,2,2876.98,2891.034,2865.104,2890.634,0.006327
1,2011/5/11,3,2890.353,2897.141,2868.349,2883.42,-0.002496
1,2011/5/12,4,2864.976,2876.448,2843.097,2844.083,-0.013642
1,2011/5/13,5,2846.311,2871.992,2832.254,2871.031,0.009475
1,2011/5/16,1,2864.377,2877.091,2846.307,2849.067,-0.00765
1,2011/5/17,2,2846.447,2869.23,2821.203,2852.773,0.001301
1,2011/5/18,3,2846.725,2877.427,2843.676,2872.771,0.00701
1,2011/5/19,4,2879.387,2884.141,2856.829,2859.574,-0.004594
1,2011/5/20,5,2858.311,2866.763,2850.445,2858.459,-0.00039
1,2011/5/23,1,2853.286,2853.286,2771.117,2774.569,-0.029348
1,2011/5/24,2,2766.059,2771.748,2744.777,2767.056,-0.002708
1,2011/5/25,3,2764.56,2771.177,2737.33,2741.741,-0.009149
1,2011/5/26,4,2755.394,2764.89,2734.536,2736.527,-0.001902
1,2011/5/27,5,2739.387,2746.842,2708.548,2709.947,-0.009713
1,2011/5/30,1,2704.485,2728.062,2689.206,2706.361,-0.001323
1,2011/5/31,2,2707.559,2744.934,2702.095,2743.472,0.013713
1,2011/6/1,3,2737.057,2744.559,2726.495,2743.572,0.000036
1,2011/6/2,4,2715.316,2727.995,2676.538,2705.181,-0.013993
1,2011/6/3,5,2701.773,2732.427,2701.25,2728.02,0.008443
1,2011/6/7,2,2720.97,2745.77,2717.313,2744.3,0.005968
1,2011/6/8,3,2742.043,2754.122,2715.25,2750.288,0.002182
1,2011/6/9,4,2743.539,2747.332,2702.695,2703.345,-0.017068
1,2011/6/10,5,2696.13,2707.742,2672.32,2705.143,0.000665
1,2011/6/13,1,2687.653,2703.423,2669.395,2700.379,-0.001761
1,2011/6/14,2,2696.223,2735.553,2691.671,2730.04,0.010984
1,2011/6/15,3,2717.677,2730.476,2705.072,2705.431,-0.009014
1,2011/6/16,4,2685.632,2691.944,2663.12,2664.283,-0.015209
1,2011/6/17,5,2661.414,2675.027,2641.392,2642.818,-0.008057
1,2011/6/20,1,2635.834,2637.883,2610.99,2621.253,-0.00816
1,2011/6/21,2,2628.022,2648.024,2618.807,2646.483,0.009625
1,2011/6/22,3,2648.534,2657.725,2633.474,2649.321,0.001072
1,2011/6/23,4,2640.66,2693.417,2630.336,2688.249,0.014694
1,2011/6/24,5,2678.052,2759.71,2674.303,2746.211,0.021561
1,2011/6/27,1,2746.787,2769.043,2743.496,2758.23,0.004377
1,2011/6/28,2,2759.713,2763.28,2736.398,2759.202,0.000352
1,2011/6/29,3,2757.4,2759.231,2727.253,2728.483,-0.011133
1,2011/6/30,4,2729.992,2774.365,2729.992,2762.076,0.012312
1,2011/7/1,5,2767.834,2778.668,2752.966,2759.362,-0.000983
1,2011/7/4,1,2770.94,2813.27,2770.94,2812.818,0.019373
1,2011/7/5,2,2812.722,2818.141,2799.11,2816.355,0.001257
1,2011/7/6,3,2811.815,2811.815,2780.728,2810.479,-0.002086
1,2011/7/7,4,2813.193,2825.123,2793.892,2794.267,-0.005768
1,2011/7/8,5,2797.026,2807.38,2784.126,2797.774,0.001255
1,2011/7/11,1,2789.454,2807.322,2780.665,2802.692,0.001758
1,2011/7/12,2,2783.722,2783.722,2752.186,2754.582,-0.017166
1,2011/7/13,3,2756.032,2797.266,2756.032,2795.476,0.014846
1,2011/7/14,4,2798.212,2811.704,2788.983,2810.444,0.005354
1,2011/7/15,5,2803.585,2821.339,2794.159,2820.169,0.00346
1,2011/7/18,1,2821.358,2826.959,2807.108,2816.688,-0.001234
1,2011/7/19,2,2804.923,2809.315,2790.685,2796.983,-0.006996
1,2011/7/20,3,2810.436,2817.285,2779.381,2794.205,-0.000993
1,2011/7/21,4,2795.896,2799.852,2763.418,2765.894,-0.010132
1,2011/7/22,5,2769.863,2782.169,2763.8,2770.79,0.00177
1,2011/7/25,1,2759.628,2759.628,2680.747,2688.746,-0.02961
1,2011/7/26,2,2685.754,2704.939,2677.119,2703.026,0.005311
1,2011/7/27,3,2690.144,2726.801,2680.433,2723.492,0.007572
1,2011/7/28,4,2701.771,2712.09,2684.661,2708.777,-0.005403
